timestamp	direction	message
47	incoming	updateConnectedClients
48	incoming	setTaskState: startScreen
48	incoming	updateScore
3308	outgoing	senderCheckIn
3310	incoming	updateConnectedClients
3970	outgoing	receiverCheckIn
3972	incoming	updateConnectedClients
4567	outgoing	startTask: run#4
4568	incoming	updateScore
4569	incoming	setTaskState: dummyScans
5574	incoming	setTaskState: goTrial
6326	outgoing	openMouth
6330	incoming	openMouth
6557	outgoing	catchBug
6560	incoming	catchBug
6560	incoming	updateScore
13579	incoming	setTaskState: rest
13579	incoming	closeMouth
15585	incoming	setTaskState: noGoTrial
16117	outgoing	openMouth
16118	incoming	openMouth
16669	outgoing	catchBug
16670	incoming	catchBug
16670	incoming	updateScore
23589	incoming	setTaskState: rest
23589	incoming	closeMouth
25593	incoming	setTaskState: goTrial
26070	outgoing	openMouth
26071	incoming	openMouth
26461	outgoing	catchBug
26463	incoming	catchBug
26463	incoming	updateScore
33599	incoming	setTaskState: rest
33599	incoming	closeMouth
35604	incoming	setTaskState: goTrial
36052	outgoing	openMouth
36055	incoming	openMouth
36356	outgoing	catchBug
36357	incoming	catchBug
36357	incoming	updateScore
43606	incoming	setTaskState: rest
43606	incoming	closeMouth
45608	incoming	setTaskState: noGoTrial
46112	outgoing	openMouth
46112	incoming	openMouth
46517	outgoing	catchBug
46519	incoming	catchBug
46519	incoming	updateScore
53613	incoming	setTaskState: rest
53613	incoming	closeMouth
55619	incoming	setTaskState: noGoTrial
56148	outgoing	openMouth
56152	incoming	openMouth
56748	outgoing	catchBug
56750	incoming	catchBug
56751	incoming	updateScore
63624	incoming	setTaskState: rest
63624	incoming	closeMouth
