Cluster Index	Z	x	y	z	
5	5.07	-48.9	-1.55	10.3
5	5.06	-39.7	-11.2	5.87
5	5.05	9.8	-36.9	0.81
5	4.74	-58.3	4.55	5.79
5	4.54	3.79	-27.2	5.1
5	4.5	-52.1	-17	15.6
4	9.44	-38.3	-26.9	69.7
4	8.19	-28.8	-26.7	73.9
4	7.53	-44.6	-24	65.3
4	7.23	-50.8	-20.8	65.4
4	5.36	-35.7	-49.4	61.6
4	5.31	-0.992	-12	54.3
3	5.46	66.8	-11	15.8
3	4.6	19.8	-60.2	37.6
3	4.27	35.5	-57.1	37
3	4.14	26.1	-60.2	37.4
3	3.88	73	-20.3	20.5
3	3.8	60.7	-20	25.4
2	6.84	15.3	-65.9	-11.6
2	6.72	27.7	-56.9	-21.5
2	5.41	15.5	-53.3	-12.2
2	5.03	15.3	-50.6	-21.3
2	3.57	21.3	-75.5	-15.9
2	3.32	6.05	-68.7	-6.69
1	3.86	21.8	-90.1	7.27
1	3.42	33.9	-87.7	-6.79
1	3.36	27.7	-87.7	-6.58
1	3.23	30.7	-94	-6.41
