Cluster Index	Z	x	y	z	
5	5.31	-52.1	1.38	5.73
5	5.01	-58.3	4.55	5.79
5	4.72	-61.4	-10.7	15.6
5	4.65	-33	32.7	3.7
5	4.36	-39.4	17	4.61
5	4.23	-27.4	-14.7	1.09
4	9.96	-38.3	-26.9	69.7
4	8.38	-28.8	-26.7	73.9
4	7.63	-44.6	-24	65.3
4	6.23	-41.9	-33.9	56.6
4	5.59	-16.5	-20.9	64.2
4	4.36	-48.2	-21.7	47.2
3	5.1	47.8	-5.36	2.66
3	5.07	35.5	16.7	2.1
3	4.38	57.7	-16.6	29.9
3	4.37	35.1	-17.9	3.63
3	4.25	35.4	4.13	2.65
3	4.25	60.3	0.873	1.96
2	7.68	27.7	-56.9	-21.5
2	7.4	15.3	-65.9	-11.6
2	6.14	15.5	-53.3	-12.2
2	4.33	21.3	-75.5	-15.9
2	4.33	6.05	-68.7	-6.69
1	5.7	-4.11	-12	54.4
1	3.42	-7.24	-2.81	49.5
1	2.98	2.36	6.81	53.3
1	2.81	8.57	3.64	53.2
1	2.74	8.49	-2.65	53.5
