Cluster Index	Z	x	y	z	
5	4.48	-7.03	43.7	33.9
5	4.47	-16.1	4.44	67.6
5	4.44	-32	25.4	44.6
5	4.43	-22.2	26.2	62.3
5	4.4	-6.49	10.9	71.5
5	4.34	-6.41	17.2	71.2
4	4.84	-19.2	-50.7	-24.7
4	4.79	9.39	-13.1	-27.3
4	4.49	9.04	-41.4	-26.1
4	4.04	-6.65	-47.6	-25.3
4	3.99	28	-44.1	-17.5
4	3.85	15.6	-28.6	-22.3
3	4.95	-61.2	20.3	5.2
3	4.66	-39.6	25.8	-9.32
3	4.33	-31.2	-9.76	-26.1
3	4.3	-33.8	9.58	-17.8
3	3.8	-34.2	-0.311	-26.4
3	3.76	-40.5	-12.6	-21.1
2	3.05	30.1	-76.7	-38.8
2	3.03	23.8	-86.1	-38.1
2	2.87	39.6	-70.5	-39.3
2	2.67	33.4	-67.3	-39.3
1	4.49	-68.4	-39.9	-0.934
1	4.33	-52.9	-37	-6.1
1	3.37	-71.8	-49.5	-4.91
1	2.72	-49.6	-42.9	3.08
