trialNum	trialType	startTime	outcome	catchTime
1	goTrial	1004	uncaught	NA
2	noGoTrial	11012	uncaught	NA
3	goTrial	21022	uncaught	NA
4	goTrial	31033	uncaught	NA
5	noGoTrial	41039	uncaught	NA
6	noGoTrial	51047	uncaught	NA
