timestamp	direction	message
65	incoming	updateConnectedClients
67	incoming	setTaskState: startScreen
67	incoming	updateScore
12765	outgoing	senderCheckIn
12771	incoming	updateConnectedClients
13744	outgoing	receiverCheckIn
13747	incoming	updateConnectedClients
14565	outgoing	startTask: run#1
14568	incoming	updateScore
14569	incoming	setTaskState: dummyScans
15572	incoming	setTaskState: goTrial
23574	incoming	setTaskState: rest
23611	incoming	openMouth
25576	incoming	closeMouth
25577	incoming	setTaskState: noGoTrial
33582	incoming	setTaskState: rest
35584	incoming	setTaskState: noGoTrial
43589	incoming	setTaskState: rest
45591	incoming	setTaskState: goTrial
53595	incoming	setTaskState: rest
55599	incoming	setTaskState: noGoTrial
63604	incoming	setTaskState: rest
65609	incoming	setTaskState: goTrial
73623	incoming	setTaskState: rest
