timestamp	direction	source	message
86035	outgoing	nodeServer	updateScore
86035	outgoing	nodeServer	setTaskState: dummyScans
86035	incoming	SENDER	startTask: run#1
87040	outgoing	nodeServer	setTaskState: goTrial
95044	outgoing	nodeServer	setTaskState: rest
97048	outgoing	nodeServer	setTaskState: noGoTrial
101683	incoming	webRoute	openMouth
101683	outgoing	nodeServer	openMouth
105052	outgoing	nodeServer	setTaskState: rest
105052	outgoing	nodeServer	closeMouth
107058	outgoing	nodeServer	setTaskState: goTrial
115063	outgoing	nodeServer	setTaskState: rest
117069	outgoing	nodeServer	setTaskState: goTrial
125069	outgoing	nodeServer	setTaskState: rest
127075	outgoing	nodeServer	setTaskState: noGoTrial
135078	outgoing	nodeServer	setTaskState: rest
137083	outgoing	nodeServer	setTaskState: noGoTrial
145088	outgoing	nodeServer	setTaskState: rest
147088	outgoing	nodeServer	setTaskState: end
