timestamp	direction	source	message
15122	outgoing	nodeServer	updateScore
15122	outgoing	nodeServer	startTask
15122	outgoing	nodeServer	setTaskState: dummyScans
15122	incoming	SENDER	startTask: run#1
16127	outgoing	nodeServer	setTaskState: goTrial
16509	incoming	webRoute	closeMouth
18517	incoming	webRoute	openMouth
18517	outgoing	nodeServer	openMouth
19012	outgoing	nodeServer	catchBug
19012	outgoing	nodeServer	updateScore
19012	incoming	RECEIVER	catchBug
20524	incoming	webRoute	closeMouth
20524	outgoing	nodeServer	closeMouth
22530	incoming	webRoute	openMouth
22531	outgoing	nodeServer	openMouth
24132	outgoing	nodeServer	setTaskState: rest
24132	outgoing	nodeServer	closeMouth
26137	outgoing	nodeServer	setTaskState: noGoTrial
26540	incoming	webRoute	closeMouth
28546	incoming	webRoute	openMouth
28546	outgoing	nodeServer	openMouth
30551	incoming	webRoute	closeMouth
30552	outgoing	nodeServer	closeMouth
32557	incoming	webRoute	openMouth
32558	outgoing	nodeServer	openMouth
34140	outgoing	nodeServer	setTaskState: rest
34140	outgoing	nodeServer	closeMouth
36146	outgoing	nodeServer	setTaskState: goTrial
36567	incoming	webRoute	closeMouth
38574	incoming	webRoute	openMouth
38574	outgoing	nodeServer	openMouth
40581	incoming	webRoute	closeMouth
40581	outgoing	nodeServer	closeMouth
42587	incoming	webRoute	openMouth
42587	outgoing	nodeServer	openMouth
44150	outgoing	nodeServer	setTaskState: rest
44150	outgoing	nodeServer	closeMouth
46155	outgoing	nodeServer	setTaskState: noGoTrial
46598	incoming	webRoute	closeMouth
48604	incoming	webRoute	openMouth
48604	outgoing	nodeServer	openMouth
50611	incoming	webRoute	closeMouth
50611	outgoing	nodeServer	closeMouth
52617	incoming	webRoute	openMouth
52618	outgoing	nodeServer	openMouth
54161	outgoing	nodeServer	setTaskState: rest
54161	outgoing	nodeServer	closeMouth
56162	outgoing	nodeServer	setTaskState: goTrial
64167	outgoing	nodeServer	setTaskState: rest
66172	outgoing	nodeServer	setTaskState: noGoTrial
74176	outgoing	nodeServer	setTaskState: rest
76181	outgoing	nodeServer	setTaskState: end
