trialNum	trialType	startTime	outcome	catchTime
1	noGoTrial	1004	uncaught	NA
2	noGoTrial	11012	uncaught	NA
3	goTrial	21021	uncaught	NA
4	goTrial	31030	uncaught	NA
5	goTrial	41038	uncaught	NA
6	noGoTrial	51048	uncaught	NA
