timestamp	direction	source	message
79322	outgoing	nodeServer	updateScore
79322	outgoing	nodeServer	startTask
79322	outgoing	nodeServer	setTaskState: dummyScans
79322	incoming	SENDER	startTask: run#1
81325	outgoing	nodeServer	setTaskState: noGoTrial
84343	incoming	webRoute	closeMouth
86476	incoming	webRoute	openMouth
86476	outgoing	nodeServer	openMouth
88608	incoming	webRoute	openMouth
89326	outgoing	nodeServer	setTaskState: rest
89326	outgoing	nodeServer	closeMouth
91327	outgoing	nodeServer	setTaskState: goTrial
94755	incoming	webRoute	closeMouth
96881	incoming	webRoute	openMouth
96882	outgoing	nodeServer	openMouth
99035	incoming	webRoute	openMouth
99328	outgoing	nodeServer	setTaskState: rest
99328	outgoing	nodeServer	closeMouth
101329	outgoing	nodeServer	setTaskState: goTrial
105176	incoming	webRoute	closeMouth
107304	incoming	webRoute	openMouth
107304	outgoing	nodeServer	openMouth
109331	outgoing	nodeServer	setTaskState: rest
109331	outgoing	nodeServer	closeMouth
109430	incoming	webRoute	openMouth
109430	outgoing	nodeServer	openMouth
111334	outgoing	nodeServer	closeMouth
111334	outgoing	nodeServer	setTaskState: noGoTrial
115571	incoming	webRoute	closeMouth
117700	incoming	webRoute	openMouth
117700	outgoing	nodeServer	openMouth
119335	outgoing	nodeServer	setTaskState: rest
119336	outgoing	nodeServer	closeMouth
119833	incoming	webRoute	openMouth
119833	outgoing	nodeServer	openMouth
121336	outgoing	nodeServer	closeMouth
121337	outgoing	nodeServer	setTaskState: goTrial
129345	outgoing	nodeServer	setTaskState: rest
131348	outgoing	nodeServer	setTaskState: noGoTrial
139354	outgoing	nodeServer	setTaskState: rest
141356	outgoing	nodeServer	setTaskState: end
