Cluster Index	Z	x	y	z	
4	4.35	43.2	39.8	31.4
4	3.79	33.4	74.2	-7.94
4	3.76	36.4	48.5	5.11
4	3.69	27.3	75.6	-3.43
4	3.64	42.5	63.9	-9.6
4	3.61	27.5	75.1	6.17
3	5.26	-38.2	-27.8	70.4
3	4.52	-25.6	-26.6	74.4
3	4.35	-41.6	-30.3	61.9
3	4.16	-38.7	-32.9	53.2
3	4.1	-41.5	-24.3	60
2	4.16	20.5	-1.12	26.6
2	4.1	20.3	-11.4	25.2
2	3.95	20.7	6.15	28.9
2	3.16	39.1	-2.53	21.7
2	3.07	20.9	13.4	31.3
2	2.93	14	-9.62	20.1
1	3.96	38.9	-70.7	58.2
1	3.78	45.4	-60.5	59.4
1	3.77	54.2	-65.6	41.8
1	3.25	54.6	-58.8	53.8
1	3.18	39.2	-62.2	64.9
1	2.72	48	-62.6	41
