Cluster Index	Z	x	y	z	
15	5.83	42	12	10
15	4.97	44	18	10
15	4.8	48	15	10
15	4.65	46	12	10
15	4.58	41	12	7
15	4.5	39	10	8
14	5.55	38	42	21
14	5.05	41	41	22
14	4.7	38	37	23
14	4.55	39	30	16
14	4.35	36	37	15
14	4.18	36	39	22
13	5.82	27	52	21
13	5.8	27	52	16
13	5.63	25	54	17
13	5.48	21	42	13
13	5.08	24	50	19
13	4.79	22	42	15
12	5.41	55	56	17
12	5.32	58	44	12
12	4.74	53	57	18
12	4.65	54	53	18
12	4.36	53	52	15
12	4.29	52	58	20
11	5.96	26	35	23
11	5.86	33	30	28
11	5.69	27	33	24
11	5.38	34	33	28
11	4.82	27	36	25
11	4.27	25	38	24
10	4.32	50	21	5
10	4.31	51	24	2
10	4.3	50	21	2
10	4.1	58	27	0
10	3.82	56	27	2
10	3.73	49	23	1
9	5.76	35	11	15
9	5.69	33	13	17
8	4.72	60	23	16
8	4.69	61	27	16
8	3.6	57	26	16
8	2.76	58	24	17
8	2.57	57	21	18
7	4.78	28	21	16
7	4.68	27	19	17
7	4.38	29	19	16
7	3.34	26	16	17
7	3.34	25	21	17
7	2.87	23	19	17
6	4.34	19	33	4
6	3.75	22	33	4
6	3.62	21	30	2
6	3.38	17	33	5
6	3.17	21	36	3
6	2.78	18	37	5
5	4.87	45	35	16
5	3.29	46	38	17
5	3.09	42	39	14
5	2.81	46	40	15
5	2.55	48	39	17
4	3.64	53	36	22
4	3.32	54	36	24
4	2.72	51	34	25
3	4.18	58	24	10
3	3.74	56	27	12
2	3.91	48	42	12
2	3.86	50	36	10
2	3.42	49	39	11
2	3.08	54	35	10
2	2.93	52	40	10
2	2.71	51	37	12
1	5.39	25	20	21
1	3.05	27	16	21
1	2.51	20	25	20
