Cluster Index	Z	x	y	z	
15	5.83	6.54	-87.9	22.4
15	4.97	12.9	-70	16.3
15	4.8	25.3	-79.1	18.8
15	4.65	19	-88	22
15	4.58	3.04	-91.7	9.52
15	4.5	-3.13	-96.4	16
14	5.55	-3.87	16.1	40.7
14	5.05	5.6	14.4	45.7
14	4.7	-3.74	3.69	54.2
14	4.55	-1.66	-26.2	30.8
14	4.35	-11	-6.45	20
14	4.18	-10.1	8.46	48.2
13	5.82	-38	46.4	32
13	5.8	-38.6	40	10.4
13	5.63	-44.7	47.3	13
13	5.48	-58	6.34	7.91
13	5.08	-47.6	37.9	25.6
13	4.79	-54.6	8.86	16.4
12	5.41	49.1	52.7	8.04
12	5.32	57.5	10.2	-2.03
12	4.74	43	57	11.6
12	4.65	46	45	15.4
12	4.36	42.5	38.2	3.54
12	4.29	40.1	62.6	19.3
11	5.96	-41.3	-2.04	57.4
11	5.86	-18.9	-10.8	83.2
11	5.69	-38.1	-6.79	63.6
11	5.38	-15.7	-1.86	80.1
11	4.82	-37.9	3.48	64.9
11	4.27	-44.2	8.25	58.9
10	4.32	31.1	-67.5	-8.83
10	4.31	33.9	-62.3	-24.8
10	4.3	30.7	-71.3	-21.8
10	4.1	55.6	-56	-37.1
10	3.82	49.6	-53.4	-28.2
10	3.73	27.5	-66.6	-27.9
9	5.76	-14.7	-84.4	45.6
9	5.69	-20.7	-75.8	52.4
8	4.72	63.8	-47.7	35.6
8	4.69	67	-35.7	31.6
8	3.6	54.5	-38.6	33
8	2.76	57.7	-43.4	39.2
8	2.57	54.6	-51.1	46.5
7	4.78	-36.2	-53	40.8
7	4.68	-39.3	-57.7	47.1
7	4.38	-33.1	-59	42.6
7	3.34	-42.5	-66.7	50.2
7	3.34	-45.5	-51.7	45.4
7	2.87	-51.8	-57.6	47.5
6	4.34	-65.5	-32.1	-21.9
6	3.75	-56.2	-32.1	-22.1
6	3.62	-59.6	-43.7	-27.7
6	3.38	-71.7	-30.8	-17.3
6	3.17	-59.3	-24.4	-29.3
6	2.78	-68.4	-18.8	-21.4
5	4.87	17.2	-11.4	25.3
5	3.29	20.5	-1.12	26.6
5	3.09	7.68	-1.85	13.1
5	2.81	20.3	2.33	16
5	2.55	26.8	1.83	25.4
4	4.18	56.8	-52.3	8.99
4	3.74	50.9	-40.7	14.9
3	3.64	43	-0.911	49.4
3	3.32	46.3	1.61	57.9
3	2.72	37	-3.05	64.5
2	3.91	26.2	4.47	0.924
2	3.86	32.1	-16.1	-2
2	3.42	29.2	-5.83	-0.54
2	3.08	44.6	-19.2	-1.42
2	2.93	38.4	-4.16	-6.13
2	2.71	35.5	-10.6	5.54
1	5.39	-45	-49.6	63.6
1	3.05	-38.8	-61.6	67.3
1	2.51	-60.6	-35.7	54.9
