Cluster Index	Z	x	y	z	
4	10.1	-35.1	-30.8	71.3
4	9.5	-25.6	-26.6	74.4
4	8.11	-19.2	-22.4	77.5
4	8.08	-47.7	-23	64.5
4	8.01	-38.7	-32.9	53.2
4	7.93	-51	-30.2	62.2
3	8.58	15.6	-52.4	-13.2
3	7.78	15.4	-51.9	-22.8
3	7.24	27.9	-55	-22.3
3	7.19	18.6	-64.4	-9.41
3	5.86	24.9	-85.9	6.86
3	5.69	-12.9	-95.4	-2.92
2	4.17	35.5	39.6	-25.1
2	4.1	22.6	13.1	-25.4
2	3.64	7.41	36.8	-23.2
2	3.47	7.09	25.2	-28.9
2	3.41	13.4	23.5	-23.8
2	3.33	26	21.6	-18.9
1	4.13	6	-24.4	-41
1	3.94	-9.36	-21.7	-31.9
1	3.6	-0.14	-26.1	-35.5
1	3.53	-6.6	-39.3	-35.7
1	3.14	-3.34	-21.3	-41.7
1	3.07	-6.56	-33.3	-37.6
