Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
15	463	3.66e-20	19.4	5.83	42	12	10	40.9	14.9	8.75	338	41	13	9	114
14	398	4.63e-18	17.3	5.55	38	42	21	38.8	38.5	20.6	397	41	42	28	114
13	383	1.47e-17	16.8	5.82	27	52	21	24.5	47.8	17.1	359	27	52	21	121
12	294	1.94e-14	13.7	5.41	55	56	17	53.6	50.4	17.2	329	59	43	12	96.7
11	200	8.97e-11	10	5.96	26	35	23	29	34.4	24.3	354	33	30	27	102
10	143	2.9e-08	7.54	4.32	50	21	5	51	22.5	2.6	391	48	20	4	112
9	63	0.000475	3.32	5.76	35	11	15	35.5	12.7	15.7	411	36	12	15	150
8	61	0.00063	3.2	4.72	60	23	16	59.5	25	16.1	219	61	27	15	77.7
7	60	0.000727	3.14	4.78	28	21	16	27	19.7	16.4	329	25	16	17	116
6	50	0.00319	2.5	4.34	19	33	4	20	32.5	3.98	81.4	19	33	4	50.2
5	42	0.0111	1.95	4.87	45	35	16	44.1	37.5	15.5	195	45	35	16	106
4	40	0.0154	1.81	3.64	53	36	22	53.1	36.5	22.3	137	54	35	24	79.7
3	40	0.0154	1.81	4.18	58	24	10	58.3	24.6	10.5	223	59	24	10	98.7
2	39	0.0181	1.74	3.91	48	42	12	49.9	38.1	10.7	140	49	41	12	89
1	33	0.0496	1.3	5.39	25	20	21	24.4	20.5	20.7	441	26	19	21	176
