Cluster Index	Z	x	y	z	
5	5.79	-34.9	51.1	25.6
5	5.39	-12.8	76.2	21.4
5	4.99	21.2	17.2	44.2
5	4.57	-25	31.7	60
5	4.57	-41.1	46.4	32.1
5	4.43	2.83	73.1	21.9
4	5.71	-15.7	-1.86	80.1
4	5.27	-15.7	-7.86	82.1
4	5.25	-53.9	-3.23	53.5
4	5.25	-37.9	3.48	64.9
4	4.55	-47.5	4	55.6
4	4.16	-12.9	-24.1	82.6
3	4.41	-6.87	17.4	45.1
3	3.38	2.42	22.1	38.5
3	2.91	5.6	14.4	45.7
2	4.49	-0.843	62	6.68
2	3.58	11.4	56.4	-1.36
2	3.54	-3.61	62.9	20.7
2	3.39	8.18	47.4	1.69
2	2.6	17.9	64.9	5.1
1	3.77	8.78	50.8	24.2
1	3.77	-9.68	56.5	32.5
1	3.37	-6.73	49.2	30
1	3.25	-3.78	41.9	27.6
1	3.19	-13.1	44.9	26.9
1	3.09	9.01	50.3	33.8
