timestamp	direction	source	message
795	outgoing	nodeServer	connectedClients
796	outgoing	nodeServer	setTaskState: startScreen
796	outgoing	nodeServer	updateScore
52249	outgoing	nodeServer	connectedClients
52249	incoming	extraClient	disconnected
52469	outgoing	nodeServer	connectedClients
52469	outgoing	nodeServer	setTaskState: startScreen
52469	outgoing	nodeServer	updateScore
53395	outgoing	nodeServer	connectedClients
53395	incoming	SENDER	senderCheckIn
54067	outgoing	nodeServer	connectedClients
54067	incoming	RECEIVER	receiverCheckIn
54482	outgoing	nodeServer	updateScore
54482	outgoing	nodeServer	setTaskState: dummyScans
54483	incoming	SENDER	startTask
55485	outgoing	nodeServer	setTaskState: noGoTrial
55979	outgoing	nodeServer	openMouth
55979	incoming	SENDER	openMouth
56145	outgoing	nodeServer	catchBug
56145	outgoing	nodeServer	updateScore
56145	incoming	SENDER	catchBug
57490	outgoing	nodeServer	setTaskState: rest
57490	outgoing	nodeServer	closeMouth
59495	outgoing	nodeServer	setTaskState: goTrial
59865	outgoing	nodeServer	openMouth
59865	incoming	SENDER	openMouth
60072	outgoing	nodeServer	catchBug
60072	outgoing	nodeServer	updateScore
60072	incoming	SENDER	catchBug
61500	outgoing	nodeServer	setTaskState: rest
61501	outgoing	nodeServer	closeMouth
63503	outgoing	nodeServer	setTaskState: end
