trialNum	trialType	startTime	outcome	catchTime
1	goTrial	8004	uncaught	NA
2	noGoTrial	26007	uncaught	NA
3	goTrial	44009	caught	51848
4	noGoTrial	62016	uncaught	NA
5	noGoTrial	80020	uncaught	NA
6	noGoTrial	98022	uncaught	NA
7	goTrial	116024	uncaught	NA
8	goTrial	134033	uncaught	NA
9	goTrial	152039	uncaught	NA
10	goTrial	170041	uncaught	NA
11	noGoTrial	188046	uncaught	NA
12	noGoTrial	206051	uncaught	NA
