Cluster Index	Z	x	y	z	
10	7.58	-58.1	7.11	15.4
10	6.32	-39.5	19.3	1.11
10	6.3	-49	1.45	7.45
10	6.24	-51.9	11.8	8.85
10	6.16	-51.3	34.9	20
10	6.07	-23.9	-3.4	12.9
9	8.69	-0.701	15.4	53.2
9	8.58	-16.2	-5.81	70.3
9	8.35	-3.52	24	59.9
9	7.52	-4.18	17.5	38.4
9	6.94	8.78	-5.97	69.5
9	6.74	-13.2	-1.14	63.9
8	5.13	30.2	76.3	3.21
8	5.04	29.6	71.1	-14
8	4.95	33.5	75.9	12.7
8	4.88	23.8	81	-2.88
8	4.87	8.61	82	11.6
8	4.7	42.7	62.5	12.1
7	6.55	-48.3	-48	61.9
7	4.99	-64.3	-42.8	46.5
7	4.49	-51.9	-57.9	51.1
7	4.33	-58.1	-51.9	49.3
7	3.94	-45.6	-51.9	48.9
7	3.81	-60.9	-37.3	54
6	5.53	51.1	11.1	5.33
6	5.17	41.6	9.83	1.35
6	4.62	51	-0.906	9.34
6	4.49	47.9	18.8	-1.87
6	4.29	29.3	26.2	1.06
6	4.24	32.7	22.8	11.6
5	5.66	39.4	-0.706	42.9
5	5.02	45.9	-1.14	52.3
5	4.63	49.1	7.82	49.2
5	4.2	52.2	1.81	51.1
5	3.89	58.3	3.46	45.5
5	3.26	36.7	-2.77	57.9
4	5.81	-8.3	-76.1	55.7
4	5.09	-20.8	-76.1	56.1
4	4.91	-14.7	-83.4	53.6
4	3.65	-5.54	-74.1	40.7
4	3.2	-4.83	-61.6	60.2
3	5.52	66.9	-34.7	39.1
3	4.19	54.3	-35.9	35.2
3	3.64	69.9	-22.4	25.3
3	3.33	67.2	-35.1	48.7
3	3.22	60.9	-41.1	50.9
3	3.19	64.2	-27.8	51.1
2	6.63	29.2	-3.75	11.1
2	4.96	16.7	-14.3	19.8
2	4.15	17	-8.75	27.4
2	3.65	19.6	-7.99	8.12
2	3.27	16.5	-14	10.2
2	3.23	16.8	-8.36	17.8
1	5.78	-64.5	-39.4	35.9
1	4.43	-61.3	-24.5	30.8
1	4.19	-67.6	-27.5	32
1	4	-67.5	-21.5	30
1	3.21	-55.2	-31.8	28.3
