Cluster Index	Z	x	y	z	
6	12.9	-38.6	-30.5	65.2
6	12.3	-22.7	-22	71.3
6	10.9	-41.9	-21.1	52.7
6	10.8	-39	-34.4	52.3
6	10.4	-48.1	-31.8	61.2
6	10.3	-47.9	-21.5	62.5
5	5.96	-14.1	65.4	-10.5
5	5.51	-1.76	44.3	-3.89
5	5.2	-29.8	59.5	-7.95
5	5.02	-26.8	52.2	-10.4
5	4.55	-42.4	49.3	-8.82
5	4.37	-16.9	77	-4.79
4	4.92	24.1	66.9	16
4	4.26	32.6	53.1	-8.08
4	4.01	5.37	83.7	6.36
4	3.94	17.7	65.7	12
4	3.92	8.77	69.6	25.2
4	3.8	20.9	74.6	8.84
3	4.38	17	30.6	4.78
3	3.44	7.49	26.3	1.81
3	3.29	4.94	37.5	17.1
3	3.21	1.11	25.1	-2.28
3	2.72	-1.92	20.4	4.13
3	2.66	8.12	46.5	14
2	4.52	27.4	21.2	50.2
2	4.13	46	16.8	46.3
2	3.99	21.3	22.6	54.7
2	3.63	27.2	21.6	40.6
2	3.53	18.3	34.6	50.8
2	2.91	42.8	27.5	38.1
1	3.94	14.8	30.7	38
1	3.47	33.5	27.6	38.4
1	3.29	24	32.3	32.4
1	3.2	30.5	42.6	33.5
1	3.16	30.1	22	30.9
1	2.92	24.1	41.3	29.4
