Cluster Index	Z	x	y	z	
6	12.9	-38.6	-30.5	65.2
6	11.6	-22.7	-22	71.3
6	11.2	-41.9	-21.1	52.7
6	10.8	-1.13	-11.1	52.6
6	10.7	-39	-34.4	52.3
6	10.2	-48.1	-31.8	61.2
5	6.04	29.4	57.8	-14.3
5	5.94	-26.8	58.2	-12.4
5	5.93	45.6	59.9	3.4
5	5.84	33	73.7	-5.49
5	5.81	20.8	79.3	2.53
5	5.69	39.5	67.2	5.9
4	7.37	-61.4	-9.14	16.2
4	6.58	-64.4	-21.5	29.9
4	5.36	-61.6	-36.1	25.2
4	4.6	-52.2	-33.1	23.9
4	3.68	-73.7	-18.4	29.2
4	3.3	-58.5	-52.8	35.4
3	8.55	-52.1	1.47	7.56
3	6.03	-39.8	0.089	2.83
3	5.98	-58.2	2.81	12.1
3	5.84	-54.2	8.9	43.1
3	5.04	-39.5	19.3	1.11
3	5.03	-48.9	10.4	4.44
2	6.73	-58.1	-57.8	51.4
2	4.6	-30.1	-73	55.4
2	3.21	-42.7	-62.2	47.5
2	2.9	-39.5	-53.3	44.4
1	4.8	12.9	-66.1	23.1
1	3.27	3.45	-75	26.4
1	2.95	-2.85	-84	29.6
1	2.92	6.51	-84	29.3
