Cluster Index	Z	x	y	z	
6	12.9	27	27	11
6	12.3	32	29	13
6	10.9	26	31	9
6	10.8	27	27	8
6	10.4	24	27	10
6	10.3	24	30	11
5	5.96	35	63	2
5	5.51	39	56	2
5	5.2	30	61	2
5	5.02	31	59	1
5	4.55	26	58	1
5	4.37	34	66	4
4	4.92	47	61	8
4	4.26	50	59	2
4	4.01	41	67	7
4	3.94	45	61	7
4	3.92	42	61	10
4	3.8	46	64	7
3	4.38	45	51	3
3	3.44	42	50	2
3	3.29	41	52	6
3	3.21	40	50	1
3	2.72	39	48	2
3	2.66	42	55	6
2	4.52	48	44	12
2	4.13	54	43	11
2	3.99	46	44	13
2	3.63	48	45	10
2	3.53	45	48	13
2	2.91	53	47	10
1	3.94	44	48	10
1	3.47	50	47	10
1	3.29	47	49	9
1	3.2	49	52	10
1	3.16	49	46	8
1	2.92	47	52	9
