Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	529	3.51e-26	25.5	7.58	-58.1	7.11	15.4	-39	22.1	16.7	385	-39.7	18	-3.19	79.7
9	504	2.67e-25	24.6	8.69	-0.701	15.4	53.2	-11.8	9.21	51.7	719	-6.64	24.1	60	103
8	146	3.43e-10	9.46	5.13	30.2	76.3	3.21	32.7	64.8	11	579	29.3	62.5	-20.6	67
7	109	5.96e-08	7.22	6.55	-48.3	-48	61.9	-49.9	-51.3	52.1	220	-45.2	-51	62.8	85.1
6	78	3.58e-06	5.45	5.53	51.1	11.1	5.33	42.8	11.9	3.37	557	41.5	14.5	-4.96	111
5	65	2.76e-05	4.56	5.66	39.4	-0.706	42.9	46.5	2.76	46.3	158	45.9	-1.14	52.3	62.5
4	60	6.28e-05	4.2	5.81	-8.3	-76.1	55.7	-12.5	-76.5	53.5	227	-14.8	-81.7	48.3	97.4
3	56	0.000123	3.91	5.52	66.9	-34.7	39.1	63.3	-35.1	41.9	106	66.9	-34.7	39.1	55.5
2	39	0.00263	2.58	6.63	29.2	-3.75	11.1	19.4	-8.85	15.2	180	29.2	-3.75	11.1	77.1
1	39	0.00263	2.58	5.78	-64.5	-39.4	35.9	-61.7	-34.3	32.5	180	-64.5	-39.4	35.9	73.1
