Cluster Index	Z	x	y	z	
4	6.37	-47.8	-0.519	55.5
4	5.88	-47.8	29.8	35.8
4	5.83	-44.6	5.45	53.4
4	5.59	-25.6	7.92	61.3
4	5.17	-54.5	33.6	15.8
4	4.92	-38.3	0.718	59.5
3	8.37	-13.2	-17.8	74.2
3	5.68	-13.4	-28.1	72.9
3	5.6	-35.6	-45.5	70.1
3	5.54	-19.6	-31	74.2
3	5.53	-41.8	-39.5	68.3
3	5.17	-58	-53.5	54.7
2	5.24	48.9	-16.1	57.2
2	5.21	42.8	-11.8	60.7
2	5.21	48.9	-25.1	60.2
2	5.01	36.6	-22.4	69.2
2	3.75	45.7	-31.1	62.3
2	3.58	42.3	-30.7	52.8
1	6.27	-14.7	-80.4	52.6
1	6.01	-20.9	-80.3	52.8
1	3.08	-37.1	-85.4	36.1
