Cluster Index	Z	x	y	z	
6	12.9	27	27	11
6	11.6	32	29	13
6	11.2	26	31	9
6	10.8	39	34	10
6	10.7	27	27	8
6	10.2	24	27	10
5	6.04	49	61	1
5	5.94	31	61	1
5	5.93	54	60	5
5	5.84	50	65	4
5	5.81	46	66	6
5	5.69	52	62	6
4	7.37	20	38	2
4	6.58	19	33	4
4	5.36	20	29	2
4	4.6	23	30	2
4	3.68	16	34	4
4	3.3	21	23	3
3	8.55	23	42	1
3	6.03	27	42	0
3	5.98	21	42	2
3	5.84	22	41	9
3	5.04	27	48	1
3	5.03	24	45	1
2	6.73	21	20	6
2	4.6	30	15	6
2	3.21	26	19	5
2	2.9	27	22	5
1	4.8	44	20	0
1	3.27	41	17	0
1	2.95	39	14	0
1	2.92	42	14	0
