Cluster Index	Z	x	y	z	
6	6.75	35	14	5
6	5.71	33	13	1
6	5.37	36	13	2
6	5.09	29	16	5
6	4.6	33	16	7
5	5.99	50	14	4
5	4.88	47	15	6
5	4.61	45	14	5
5	4.48	52	15	4
5	4.36	50	15	6
5	3.98	43	13	4
4	5.69	48	21	11
4	5.07	46	20	11
4	4.51	44	19	11
4	4.36	51	21	10
4	3.85	51	23	11
4	3.67	54	22	9
3	5.49	54	35	11
3	5.36	58	33	9
3	4.94	55	33	11
3	3.07	56	29	10
3	2.98	59	38	7
3	2.8	57	37	9
2	5.43	26	33	11
2	4.09	23	37	9
2	3.74	24	35	10
2	3.61	26	39	11
2	3.2	25	42	11
1	4.98	34	21	11
1	4.94	35	25	13
1	4.38	29	22	10
1	3.38	33	24	12
1	3.21	30	24	11
