Cluster Index	Z	x	y	z	
5	10.4	-15.9	-2.59	79.6
5	7.54	2.85	10.9	69.7
5	7.53	-0.477	11.3	60.1
5	7.43	-0.694	-4.94	60.9
5	7.34	-6.49	0.345	78.3
5	7.24	-6.3	27.3	69.2
4	5.89	-51.3	-47.5	62.7
4	5.86	-8.17	-76.9	52.3
4	5.78	-41.9	-53.5	64.4
4	5.68	-20.6	-73.8	51.7
4	5.48	10.3	-85.6	45.2
4	5.4	-11.6	-77.8	38.5
3	5.88	-35.1	60.4	16.1
3	5.81	-54.4	20.7	15.9
3	5.38	-51.4	8.74	19.9
3	5.25	-38.5	57.8	7.56
3	5.23	-32.1	53.1	13.7
3	5.03	-41.9	19	20.8
2	5.1	27.7	53.4	35.5
2	4.15	30.5	43.4	24.6
2	3.78	33.5	48.1	18.1
2	3.47	36.7	54.1	16
2	3.41	36.9	62.7	22.6
2	3.13	21.7	56	44.3
1	3.54	23	-52.8	33.7
1	3.43	29.2	-48.2	27.2
1	3.12	23	-48.1	27.4
1	3.08	20.2	-41.2	39.3
1	3	20.1	-47.1	41.4
1	2.81	10.7	-53.1	43.7
