Cluster Index	Z	x	y	z	
7	8.69	34	34	14
7	7.26	36	40	14
7	7.15	42	38	14
7	7.14	37	33	14
7	7.07	32	47	12
7	6.28	27	37	11
6	6.6	35	14	5
6	5.1	21	20	2
6	5.03	24	19	5
6	4.67	21	22	3
6	4.41	18	25	0
6	4.36	17	28	3
5	5.71	53	34	11
5	5.68	55	33	10
5	5.3	57	33	9
5	4.61	49	31	12
5	4.48	54	30	11
5	4.4	51	31	12
4	4.81	37	60	6
4	4.62	41	64	6
4	3.97	41	61	7
4	3.9	41	59	10
4	3.64	45	58	11
4	3.61	42	63	9
3	4.15	21	48	2
3	3.46	24	45	0
3	3.32	20	52	0
3	3.31	21	55	0
3	3.25	23	57	1
3	3.25	23	53	1
2	6.04	37	67	5
2	4.25	30	63	6
1	4.98	47	15	6
1	3.54	47	14	1
