Cluster Index	Z	x	y	z	
6	6.75	-14.2	-77.2	62.1
6	5.71	-20.9	-85.4	46.1
6	5.37	-11.4	-84.2	50.1
6	5.09	-32.9	-71.1	60.6
6	4.6	-20.2	-68.6	68.9
5	5.99	32.5	-78.8	56.5
5	4.88	23.4	-73.1	64.3
5	4.61	17	-77.4	61.2
5	4.48	38.8	-75.8	55.3
5	4.36	32.8	-73.2	64
5	3.98	10.6	-81.7	58.1
4	5.69	27.2	-48.6	79.6
4	5.07	20.9	-51.6	80.8
4	4.51	14.7	-54.5	82
4	4.36	36.5	-50	75.1
4	3.85	36.6	-42.7	77.3
4	3.67	45.7	-48.4	69.5
3	5.49	46.2	-6.88	64.9
3	5.36	58.5	-15.6	58
3	4.94	49.3	-12.9	66.8
3	3.07	52.3	-26.2	66.5
3	2.98	61.5	-3.25	44.2
3	2.8	55.4	-3.58	54
2	5.43	-41.2	-12.4	69.4
2	4.09	-50.8	-2.99	57
2	3.74	-47.6	-7.67	63.3
2	3.61	-41.1	5.56	63.3
2	3.2	-44.2	14.6	60.4
1	4.98	-16.5	-48.4	80.9
1	4.94	-13.1	-33.8	85.3
1	4.38	-32.2	-46.6	76
1	3.38	-19.5	-38.1	82.2
1	3.21	-28.9	-39.4	78.2
