Cluster Index	Z	x	y	z	
7	8.69	-15.9	-5.58	80.6
7	7.26	-9.53	12.3	74.3
7	7.15	9.17	6.24	75.8
7	7.14	-6.55	-8.63	81.3
7	7.07	-22.1	30.7	59
7	6.28	-38	-0.433	65.3
6	6.6	-14.2	-77.2	62.1
6	5.1	-58.1	-63	44.4
6	5.03	-48.5	-62.1	58
6	4.67	-58	-55.7	46.7
6	4.41	-67.6	-50.6	31
6	4.36	-70.4	-37.7	40.9
5	5.71	43.1	-9.85	66
5	5.68	49.2	-14.2	62.5
5	5.3	55.3	-15.5	58
5	4.61	30.7	-17.4	73.7
5	4.48	46.1	-21.8	70
5	4.4	36.9	-17.5	73.5
4	4.81	-6.89	61.6	19.6
4	4.62	5.69	73.5	15.1
4	3.97	5.74	65.8	22.5
4	3.9	6.03	63.8	37.4
4	3.64	18.6	62	42.4
4	3.61	9.13	74.4	29
3	4.15	-57.6	20.7	16
3	3.46	-48.5	9.09	10.2
3	3.32	-60.8	30.1	3.42
3	3.31	-57.6	39	0.286
3	3.25	-51.2	46.3	2.37
3	3.25	-51.3	34.3	6.43
2	6.04	-6.86	81.2	8.16
2	4.25	-28.7	70.7	17.1
1	4.98	23.4	-73.1	64.3
1	3.54	22.8	-82.7	43.8
